Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,MG,Metálicos,Cromo,t,"175,000000","35,000000000000000",Cr2O3,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Fosfato,t,"22237453,650000","2036796,440000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"4313113,230000",",000000000000000",,"190651,51999999999","1192474,22",",000000",",000000","346416,310000","1553655,230000"
2010.0,MS,Não-Metálicos,Areia,-,"2386130,880000",",000000000000000",,"1506586,0700000001","11483893,199999999",",000000",",000000","59,600000","696,050000"
2010.0,MS,Não-Metálicos,Dolomito e Magnesita,-,"679322,960000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Metálicos,Ferro,t,"9983835,000000","6325305,760000000000000",Fe,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Gemas e Diamantes,Diamante,ct,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Não-Metálicos,Saibro,-,"187066,550000",",000000000000000",,"186915,79000000001","591343,18999999994",",000000",",000000",",000000",",000000"
2010.0,MS,Não-Metálicos,Rochas Ornamentais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Não-Metálicos,Argilas,-,"476220,130000",",000000000000000",,"93138,960000000006","669122,79999999993",",000000",",000000","59932,250000","694840,500000"
2010.0,MS,Não-Metálicos,Talco e outras Cargas Minerais,-,"222070,680000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MS,Não-Metálicos,Calcário,-,"2530487,460000",",000000000000000",,"25385,970000000001","512030,48999999999",",000000",",000000",",000000",",000000"
2010.0,MS,Metálicos,Manganês,t,"256027,000000","97290,000000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2010.0,MT,Gemas e Diamantes,Diamante,ct,"73500,000000","10800,000000000000000",,"57,829999999999998",11000,",000000",",000000",",000000",",000000"
2010.0,MT,Metálicos,Ouro,kg,"9163769,360000","5035,504110000000000",Au,0,0,",000000",",000000",",000000","1311539,950000"
2010.0,MT,Não-Metálicos,Quartzo (Cristal) e outros Piezelétricos,-,"27,700000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MT,Metálicos,Estanho,kg,"208549,000000","160000,000000000000000",Sn,0,0,",000000",",000000",",000000",",000000"
2010.0,MT,Não-Metálicos,Saibro,-,"21070,000000",",000000000000000",,0,0,"21070,000000","127024,000000",",000000",",000000"
2010.0,MT,Metálicos,Zinco,t,",000000","755,250000000000000",Zn,0,0,",000000",",000000",",000000",",000000"
2010.0,MT,Não-Metálicos,Areia,-,"694554,390000",",000000000000000",,"659284,54999999993","8338182,7999999998",",000000",",000000",",000000",",000000"
2010.0,MT,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"3120580,890000",",000000000000000",,"244840,78","4158417,8800000004","26159,400000","1706,480000","140268,000000","238747,200000"
